Course.Title,Course.Number,Student.Enrollment,A,B,C,D,F,W,Avg.GPA,Subject,Links
"Black America, 1619-Present",AFRO 101,403,41%,38%,13%,3%,4%,1%,3.08,AFRO,https://courses.illinois.edu/schedule/2018/fall/AFRO/101
African American Music,AFRO 132,55,67%,31%,2%,0%,0%,0%,3.62,AFRO,https://courses.illinois.edu/schedule/2018/fall/AFRO/132
African American Psychology,AFRO 411,133,55%,30%,11%,2%,1%,2%,3.37,AFRO,https://courses.illinois.edu/schedule/2018/fall/AFRO/411
Intro to Ag and Env Comm,AGCM 110,117,73%,20%,7%,1%,0%,0%,3.62,AGCM,https://courses.illinois.edu/schedule/2018/fall/AGCM/110
Communicating Agriculture,AGCM 220,104,69%,18%,5%,2%,6%,0%,3.39,AGCM,https://courses.illinois.edu/schedule/2018/fall/AGCM/220
Leadership Communications,AGED 230,294,68%,20%,6%,3%,1%,1%,3.49,AGED,https://courses.illinois.edu/schedule/2018/fall/AGED/230
Intro to Leadership Studies,AGED 260,2559,66%,25%,6%,2%,1%,0%,3.53,AGED,https://courses.illinois.edu/schedule/2018/fall/AGED/260
Training Needs Assessment,AGED 280,271,69%,20%,6%,3%,2%,1%,3.47,AGED,https://courses.illinois.edu/schedule/2018/fall/AGED/280
Leadership Ethics & Pluralism,AGED 340,174,77%,17%,2%,2%,2%,0%,3.6,AGED,https://courses.illinois.edu/schedule/2018/fall/AGED/340
Leadership in Groups and Teams,AGED 380,715,77%,20%,2%,0%,1%,0%,3.67,AGED,https://courses.illinois.edu/schedule/2018/fall/AGED/380
Collaborative Leadership,AGED 480,508,84%,15%,1%,0%,0%,0%,3.77,AGED,https://courses.illinois.edu/schedule/2018/fall/AGED/480
Undergraduate Open Seminar,AHS 199,12299,88%,8%,2%,1%,1%,1%,3.82,AHS,https://courses.illinois.edu/schedule/2018/fall/AHS/199
Disability & Assistive Technol,AHS 494,77,77%,10%,3%,1%,9%,0%,3.39,AHS,https://courses.illinois.edu/schedule/2018/fall/AHS/494
Intro to Amer Indian Studies,AIS 101,1428,62%,30%,5%,1%,2%,0%,3.46,AIS,https://courses.illinois.edu/schedule/2018/fall/AIS/101
Intro to Animal Sciences,ANSC 100,1811,45%,39%,13%,1%,1%,0%,3.31,ANSC,https://courses.illinois.edu/schedule/2018/fall/ANSC/100
Working With Farm Animals,ANSC 103,435,97%,2%,0%,0%,0%,0%,3.97,ANSC,https://courses.illinois.edu/schedule/2018/fall/ANSC/103
Life With Animals and Biotech,ANSC 110,508,82%,15%,2%,0%,0%,1%,3.77,ANSC,https://courses.illinois.edu/schedule/2018/fall/ANSC/110
Horse Management,ANSC 206,520,82%,16%,2%,0%,0%,0%,3.8,ANSC,https://courses.illinois.edu/schedule/2018/fall/ANSC/206
Companion Animal Biology &Care,ANSC 207,2438,56%,31%,9%,2%,1%,0%,3.41,ANSC,https://courses.illinois.edu/schedule/2018/fall/ANSC/207
"Cells, Metabolism and Genetics",ANSC 221,1422,33%,36%,22%,6%,2%,0%,2.93,ANSC,https://courses.illinois.edu/schedule/2018/fall/ANSC/221
Anatomy and Physiology,ANSC 222,2746,26%,37%,22%,11%,3%,1%,2.72,ANSC,https://courses.illinois.edu/schedule/2018/fall/ANSC/222
Companion Animals in Society,ANSC 250,5165,74%,19%,5%,1%,1%,0%,3.63,ANSC,https://courses.illinois.edu/schedule/2018/fall/ANSC/250
Undergraduate Seminar,ANSC 298,1523,91%,6%,2%,1%,1%,0%,3.85,ANSC,https://courses.illinois.edu/schedule/2018/fall/ANSC/298
Human Animal Interactions,ANSC 305,397,80%,14%,4%,0%,1%,0%,3.72,ANSC,https://courses.illinois.edu/schedule/2018/fall/ANSC/305
Companion Animal Management,ANSC 307,337,30%,42%,20%,5%,3%,0%,2.91,ANSC,https://courses.illinois.edu/schedule/2018/fall/ANSC/307
Meat Production and Marketing,ANSC 309,71,68%,28%,3%,1%,0%,0%,3.62,ANSC,https://courses.illinois.edu/schedule/2018/fall/ANSC/309
Cellular Metabolism in Animals,ANSC 350,385,76%,16%,8%,1%,0%,0%,3.68,ANSC,https://courses.illinois.edu/schedule/2018/fall/ANSC/350
Companion Animal Policy,ANSC 370,67,60%,24%,9%,3%,4%,0%,3.28,ANSC,https://courses.illinois.edu/schedule/2018/fall/ANSC/370
