Course.Title,Course.Number,Student.Enrollment,A,B,C,D,F,W,Avg.GPA,Subject,Links
Industrial Quality Control,IE 330,337,50%,34%,10%,6%,1%,0%,3.25,IE,https://courses.illinois.edu/schedule/2018/fall/IE/330
Human Factors,IE 340,754,53%,34%,9%,2%,2%,0%,3.31,IE,https://courses.illinois.edu/schedule/2018/fall/IE/340
Production Planning & Control,IE 361,288,53%,40%,6%,1%,1%,0%,3.41,IE,https://courses.illinois.edu/schedule/2018/fall/IE/361
Stochastic Process and Applic,IE 398,79,59%,34%,5%,1%,0%,0%,3.52,IE,https://courses.illinois.edu/schedule/2018/fall/IE/398
Simulation,IE 413,448,37%,36%,17%,8%,1%,1%,3,IE,https://courses.illinois.edu/schedule/2018/fall/IE/413
Financial Engineering,IE 420,279,35%,49%,11%,4%,0%,0%,3.12,IE,https://courses.illinois.edu/schedule/2018/fall/IE/420
Design for Six Sigma,IE 431,152,45%,47%,6%,0%,1%,1%,3.38,IE,https://courses.illinois.edu/schedule/2018/fall/IE/431
Cmptng for ISE,IE 498,34,62%,35%,3%,0%,0%,0%,3.48,IE,https://courses.illinois.edu/schedule/2018/fall/IE/498
Numerical Methods in Finance,IE 525,312,60%,36%,3%,0%,0%,1%,3.57,IE,https://courses.illinois.edu/schedule/2018/fall/IE/525
Stochastic Calculus in Finance,IE 526,314,69%,28%,3%,0%,0%,0%,3.61,IE,https://courses.illinois.edu/schedule/2018/fall/IE/526
Algorithms for Data Analytics,IE 531,28,86%,14%,0%,0%,0%,0%,3.81,IE,https://courses.illinois.edu/schedule/2018/fall/IE/531
Electronic Trading,IE 598,21,71%,29%,0%,0%,0%,0%,3.65,IE,https://courses.illinois.edu/schedule/2018/fall/IE/598
Field Experience in i-Health,IHLT 475,167,87%,9%,2%,0%,1%,0%,3.82,IHLT,https://courses.illinois.edu/schedule/2018/fall/IHLT/475
Little Bits to Big Ideas,INFO 102,534,34%,39%,15%,7%,4%,1%,2.92,INFO,https://courses.illinois.edu/schedule/2018/fall/INFO/102
Web Technologies & Techniques,INFO 390,27,37%,52%,11%,0%,0%,0%,3.21,INFO,https://courses.illinois.edu/schedule/2018/fall/INFO/390
Makerspace B: Open Studio,INFO 490,34,68%,24%,9%,0%,0%,0%,3.55,INFO,https://courses.illinois.edu/schedule/2018/fall/INFO/490
Advanced Data Science,INFO 490,265,83%,9%,6%,1%,1%,0%,3.72,INFO,https://courses.illinois.edu/schedule/2018/fall/INFO/490
Readings in Sports Journalism,JOUR 361,34,47%,41%,3%,6%,3%,0%,3.23,JOUR,https://courses.illinois.edu/schedule/2018/fall/JOUR/361
Crisis Communications,JOUR 453,238,73%,21%,4%,0%,1%,0%,3.58,JOUR,https://courses.illinois.edu/schedule/2018/fall/JOUR/453
Development Activities,KIN 100,538,84%,12%,2%,0%,1%,0%,3.78,KIN,https://courses.illinois.edu/schedule/2018/fall/KIN/100
Dance Activities,KIN 101,267,72%,19%,5%,2%,1%,1%,3.59,KIN,https://courses.illinois.edu/schedule/2018/fall/KIN/101
Indoor Court Activities,KIN 103,51,94%,4%,2%,0%,0%,0%,3.92,KIN,https://courses.illinois.edu/schedule/2018/fall/KIN/103
Badminton,KIN 103,136,89%,7%,2%,0%,1%,0%,3.8,KIN,https://courses.illinois.edu/schedule/2018/fall/KIN/103
Skating Activities,KIN 104,3396,91%,4%,2%,1%,1%,1%,3.84,KIN,https://courses.illinois.edu/schedule/2018/fall/KIN/104
Team Sport Activities,KIN 109,463,87%,11%,2%,0%,1%,0%,3.81,KIN,https://courses.illinois.edu/schedule/2018/fall/KIN/109
Analysis of Basic Movement,KIN 130,1346,71%,25%,3%,0%,0%,0%,3.62,KIN,https://courses.illinois.edu/schedule/2018/fall/KIN/130
UG Open Seminar: Brain Injury,KIN 199,22,55%,32%,9%,5%,0%,0%,3.38,KIN,https://courses.illinois.edu/schedule/2018/fall/KIN/199
Phys Act Research Meas & Meth,KIN 201,55,84%,11%,5%,0%,0%,0%,3.78,KIN,https://courses.illinois.edu/schedule/2018/fall/KIN/201
Measure & Eval in Kinesiology,KIN 401,731,59%,31%,6%,1%,3%,0%,3.39,KIN,https://courses.illinois.edu/schedule/2018/fall/KIN/401
Psychophysiology in Ex & Sport,KIN 443,517,87%,11%,2%,0%,0%,0%,3.85,KIN,https://courses.illinois.edu/schedule/2018/fall/KIN/443
Physical Activity & Aging,KIN 459,241,45%,42%,10%,2%,1%,0%,3.31,KIN,https://courses.illinois.edu/schedule/2018/fall/KIN/459
Elementary Korean II,KOR 202,69,83%,17%,0%,0%,0%,0%,3.82,KOR,https://courses.illinois.edu/schedule/2018/fall/KOR/202
History of the Prison,LA 221,96,31%,36%,20%,7%,4%,1%,2.84,LA,https://courses.illinois.edu/schedule/2018/fall/LA/221
Landform Design & Construction,LA 241,104,35%,48%,14%,3%,0%,0%,3.09,LA,https://courses.illinois.edu/schedule/2018/fall/LA/241
History of World Landscapes,LA 314,285,26%,35%,24%,7%,6%,2%,2.69,LA,https://courses.illinois.edu/schedule/2018/fall/LA/314
Sustainable Design Principles,LA 480,615,57%,38%,4%,0%,1%,0%,3.46,LA,https://courses.illinois.edu/schedule/2018/fall/LA/480
Transfer Advantage,LAS 102,66,80%,17%,2%,0%,2%,0%,3.72,LAS,https://courses.illinois.edu/schedule/2018/fall/LAS/102
Leadership & Prof Development,LAS 399,191,90%,8%,1%,1%,1%,0%,3.83,LAS,https://courses.illinois.edu/schedule/2018/fall/LAS/399
Poverty & the Law,LAW 199,40,48%,42%,8%,2%,0%,0%,3.32,LAW,https://courses.illinois.edu/schedule/2018/fall/LAW/199
Transitional Justice,LAW 302,24,29%,62%,0%,4%,4%,0%,3,LAW,https://courses.illinois.edu/schedule/2018/fall/LAW/302
Criminal Law,LAW 604,1374,26%,67%,6%,0%,0%,0%,3.22,LAW,https://courses.illinois.edu/schedule/2018/fall/LAW/604
Constitutional Law I,LAW 606,1224,27%,67%,5%,0%,0%,0%,3.24,LAW,https://courses.illinois.edu/schedule/2018/fall/LAW/606
Introduction to Advocacy,LAW 610,454,26%,63%,9%,1%,1%,1%,3.2,LAW,https://courses.illinois.edu/schedule/2018/fall/LAW/610
Secured Transactions,LAW 631,287,36%,56%,7%,0%,0%,1%,3.27,LAW,https://courses.illinois.edu/schedule/2018/fall/LAW/631
Securities Regulation(ONL),LAW 634,29,38%,62%,0%,0%,0%,0%,3.44,LAW,https://courses.illinois.edu/schedule/2018/fall/LAW/634
International Business Trans,LAW 653,177,41%,52%,6%,1%,0%,1%,3.36,LAW,https://courses.illinois.edu/schedule/2018/fall/LAW/653
Employment Discrimination,LAW 664,262,39%,57%,3%,0%,0%,0%,3.4,LAW,https://courses.illinois.edu/schedule/2018/fall/LAW/664
Elder Law,LAW 670,358,44%,54%,1%,0%,0%,0%,3.42,LAW,https://courses.illinois.edu/schedule/2018/fall/LAW/670
Criminal Proc: Adjudication,LAW 679,448,37%,59%,4%,0%,0%,0%,3.37,LAW,https://courses.illinois.edu/schedule/2018/fall/LAW/679
Federal Courts,LAW 684,56,39%,61%,0%,0%,0%,0%,3.45,LAW,https://courses.illinois.edu/schedule/2018/fall/LAW/684
Jurisprudence,LAW 687,52,25%,75%,0%,0%,0%,0%,3.31,LAW,https://courses.illinois.edu/schedule/2018/fall/LAW/687
Mergers & Acquisitions(ONL),LAW 794,24,42%,46%,12%,0%,0%,0%,3.25,LAW,https://courses.illinois.edu/schedule/2018/fall/LAW/794
Mergers & Acquisitions,LAW 794,234,39%,61%,0%,0%,0%,0%,3.42,LAW,https://courses.illinois.edu/schedule/2018/fall/LAW/794
Labor and Social Movements,LER 110,2194,32%,31%,17%,7%,13%,1%,2.58,LER,https://courses.illinois.edu/schedule/2018/fall/LER/110
Contemporary Labor Problems,LER 120,1358,36%,23%,15%,6%,18%,2%,2.51,LER,https://courses.illinois.edu/schedule/2018/fall/LER/120
Compensation Systems,LER 561,112,93%,7%,0%,0%,0%,0%,3.93,LER,https://courses.illinois.edu/schedule/2018/fall/LER/561
Negotiation in HR Decisions,LER 567,296,83%,17%,0%,0%,0%,0%,3.74,LER,https://courses.illinois.edu/schedule/2018/fall/LER/567
Corporate Social Respon,LER 590,21,52%,48%,0%,0%,0%,0%,3.59,LER,https://courses.illinois.edu/schedule/2018/fall/LER/590
Gov't Reg & Employment Law,LER 590,84,95%,5%,0%,0%,0%,0%,3.94,LER,https://courses.illinois.edu/schedule/2018/fall/LER/590
"Emp Stress, Well-Being & Saf",LER 590,43,91%,7%,0%,0%,2%,0%,3.81,LER,https://courses.illinois.edu/schedule/2018/fall/LER/590
"Work, Family and Orgnizations",LER 590,118,73%,27%,0%,0%,0%,0%,3.71,LER,https://courses.illinois.edu/schedule/2018/fall/LER/590
Language Diversity in the USA,LING 250,289,62%,21%,12%,4%,1%,0%,3.36,LING,https://courses.illinois.edu/schedule/2018/fall/LING/250
"Language, Technology & Society",LING 270,167,83%,11%,2%,1%,1%,1%,3.72,LING,https://courses.illinois.edu/schedule/2018/fall/LING/270
Intro to Computational Ling,LING 406,78,86%,8%,5%,0%,1%,0%,3.71,LING,https://courses.illinois.edu/schedule/2018/fall/LING/406
Intro to Psycholinguistics,LING 425,60,62%,17%,13%,8%,0%,0%,3.3,LING,https://courses.illinois.edu/schedule/2018/fall/LING/425
Community Engagement,LIS 418,22,95%,5%,0%,0%,0%,0%,3.88,LIS,https://courses.illinois.edu/schedule/2018/fall/LIS/418
Instruction and Assistance Sys,LIS 458,335,87%,11%,2%,0%,0%,0%,3.83,LIS,https://courses.illinois.edu/schedule/2018/fall/LIS/458
Intr to Bibliographic Metadata,LIS 507,268,90%,9%,1%,1%,0%,0%,3.83,LIS,https://courses.illinois.edu/schedule/2018/fall/LIS/507
Sociotechnical Info Sys,LIS 543,43,77%,23%,0%,0%,0%,0%,3.68,LIS,https://courses.illinois.edu/schedule/2018/fall/LIS/543
Metadata in Theory & Practice,LIS 562,189,76%,22%,1%,1%,1%,1%,3.62,LIS,https://courses.illinois.edu/schedule/2018/fall/LIS/562
Comics: Advising Readers,LIS 590,77,92%,3%,1%,1%,1%,1%,3.8,LIS,https://courses.illinois.edu/schedule/2018/fall/LIS/590
Politics of Hip Hop,LLS 265,130,65%,25%,9%,1%,0%,0%,3.48,LLS,https://courses.illinois.edu/schedule/2018/fall/LLS/265
Race and Mixed Race,LLS 355,96,61%,33%,4%,1%,0%,0%,3.51,LLS,https://courses.illinois.edu/schedule/2018/fall/LLS/355
Sportsmedia Technology Culture,MACS 224,54,78%,9%,11%,0%,2%,0%,3.6,MACS,https://courses.illinois.edu/schedule/2018/fall/MACS/224
Survey of World Cinema II,MACS 262,430,52%,32%,10%,2%,3%,0%,3.24,MACS,https://courses.illinois.edu/schedule/2018/fall/MACS/262
A World of Death & Blood,MACS 295,29,83%,17%,0%,0%,0%,0%,3.74,MACS,https://courses.illinois.edu/schedule/2018/fall/MACS/295
"Censorship, Cinema, & Culture",MACS 321,27,22%,22%,15%,26%,15%,0%,2.06,MACS,https://courses.illinois.edu/schedule/2018/fall/MACS/321
Calculus for Business I,MATH 234,4014,25%,34%,24%,12%,4%,1%,2.63,MATH,https://courses.illinois.edu/schedule/2018/fall/MATH/234
Non Euclidean Geometry,MATH 402,338,46%,40%,12%,1%,2%,0%,3.24,MATH,https://courses.illinois.edu/schedule/2018/fall/MATH/402
Mathematical Logic,MATH 414,54,26%,35%,22%,15%,2%,0%,2.64,MATH,https://courses.illinois.edu/schedule/2018/fall/MATH/414
Intro to Abstract Algebra II,MATH 418,26,62%,27%,8%,4%,0%,0%,3.46,MATH,https://courses.illinois.edu/schedule/2018/fall/MATH/418
Actuarial Theory II,MATH 472,631,32%,40%,19%,7%,2%,0%,2.89,MATH,https://courses.illinois.edu/schedule/2018/fall/MATH/472
Actuarial Loss Models,MATH 478,119,44%,36%,16%,3%,1%,0%,3.11,MATH,https://courses.illinois.edu/schedule/2018/fall/MATH/478
Vector and Tensor Analysis,MATH 481,93,47%,28%,16%,4%,3%,1%,3.1,MATH,https://courses.illinois.edu/schedule/2018/fall/MATH/481
Stoch Proc for Fin & Insurance,MATH 490,48,31%,29%,29%,6%,4%,0%,2.74,MATH,https://courses.illinois.edu/schedule/2018/fall/MATH/490
Equity Linked Insurance,MATH 490,25,36%,48%,16%,0%,0%,0%,3.17,MATH,https://courses.illinois.edu/schedule/2018/fall/MATH/490
Finance I,MBA 503,600,72%,26%,2%,0%,0%,0%,3.67,MBA,https://courses.illinois.edu/schedule/2018/fall/MBA/503
Strategy,MBA 503,604,72%,28%,0%,0%,0%,0%,3.66,MBA,https://courses.illinois.edu/schedule/2018/fall/MBA/503
Finance II,MBA 504,598,80%,17%,3%,0%,0%,0%,3.75,MBA,https://courses.illinois.edu/schedule/2018/fall/MBA/504
Ethical Leadership,MBA 504,285,60%,40%,0%,0%,0%,0%,3.56,MBA,https://courses.illinois.edu/schedule/2018/fall/MBA/504
Negotiations,MBA 505,778,44%,53%,2%,0%,0%,0%,3.4,MBA,https://courses.illinois.edu/schedule/2018/fall/MBA/505
Strategic Innovation Mgmt,MBA 505,229,88%,11%,1%,0%,0%,0%,3.79,MBA,https://courses.illinois.edu/schedule/2018/fall/MBA/505
Global Immersion: China,MBA 531,48,96%,4%,0%,0%,0%,0%,3.94,MBA,https://courses.illinois.edu/schedule/2018/fall/MBA/531
Human Anatomy & Physiology II,MCB 246,3804,19%,39%,33%,7%,1%,0%,2.66,MCB,https://courses.illinois.edu/schedule/2018/fall/MCB/246
Human Anat & Physiol Lab II,MCB 247,2564,24%,48%,21%,5%,2%,0%,2.83,MCB,https://courses.illinois.edu/schedule/2018/fall/MCB/247
Medical Genetics,MCB 270,156,63%,29%,2%,0%,4%,1%,3.45,MCB,https://courses.illinois.edu/schedule/2018/fall/MCB/270
Microbiology,MCB 300,2104,27%,48%,21%,3%,0%,0%,3.01,MCB,https://courses.illinois.edu/schedule/2018/fall/MCB/300
Genetics and Genomics,MCB 317,939,31%,44%,19%,5%,1%,0%,3.01,MCB,https://courses.illinois.edu/schedule/2018/fall/MCB/317
Mechanisms of Human Disease,MCB 320,349,47%,36%,12%,5%,1%,0%,3.19,MCB,https://courses.illinois.edu/schedule/2018/fall/MCB/320
Sys & Integrative Physiology,MCB 402,353,37%,31%,21%,10%,1%,0%,2.9,MCB,https://courses.illinois.edu/schedule/2018/fall/MCB/402
Gene Expression & Regulation,MCB 406,65,71%,26%,2%,0%,0%,2%,3.7,MCB,https://courses.illinois.edu/schedule/2018/fall/MCB/406
Cellular Microbiology &Disease,MCB 429,145,34%,43%,14%,5%,3%,1%,2.99,MCB,https://courses.illinois.edu/schedule/2018/fall/MCB/429
Computing in Molecular Biology,MCB 432,482,59%,35%,5%,0%,1%,0%,3.48,MCB,https://courses.illinois.edu/schedule/2018/fall/MCB/432
Evolution of InfectiousDisease,MCB 435,73,62%,30%,7%,0%,1%,0%,3.52,MCB,https://courses.illinois.edu/schedule/2018/fall/MCB/435
Basic Human Pathology,MCB 458,96,60%,38%,2%,0%,0%,0%,3.55,MCB,https://courses.illinois.edu/schedule/2018/fall/MCB/458
Integrative Neuroscience,MCB 462,271,62%,33%,4%,0%,0%,0%,3.55,MCB,https://courses.illinois.edu/schedule/2018/fall/MCB/462
Human Metabolic Disease,MCB 465,118,51%,29%,15%,4%,0%,1%,3.24,MCB,https://courses.illinois.edu/schedule/2018/fall/MCB/465
Eukaryotic Cell Signaling,MCB 480,51,71%,24%,4%,2%,0%,0%,3.6,MCB,https://courses.illinois.edu/schedule/2018/fall/MCB/480
Watching the Environment,MDIA 223,420,37%,37%,13%,5%,6%,1%,2.93,MDIA,https://courses.illinois.edu/schedule/2018/fall/MDIA/223
Photography for Everyone,MDIA 293,46,63%,26%,11%,0%,0%,0%,3.49,MDIA,https://courses.illinois.edu/schedule/2018/fall/MDIA/293
Energy Conversion Systems,ME 400,279,56%,32%,5%,4%,3%,0%,3.31,ME,https://courses.illinois.edu/schedule/2018/fall/ME/400
Numerical Thermo-Fluid Mechs,ME 412,141,65%,31%,1%,0%,3%,0%,3.51,ME,https://courses.illinois.edu/schedule/2018/fall/ME/412
Num Control of Mfg Processes,ME 452,109,61%,28%,10%,0%,0%,0%,3.51,ME,https://courses.illinois.edu/schedule/2018/fall/ME/452
Industrial Control Systems,ME 460,179,60%,31%,7%,1%,0%,0%,3.47,ME,https://courses.illinois.edu/schedule/2018/fall/ME/460
Introduction to Tribology,ME 472,78,71%,24%,3%,1%,1%,0%,3.57,ME,https://courses.illinois.edu/schedule/2018/fall/ME/472
Whole-Body Musculoskel Biomech,ME 481,219,64%,33%,3%,0%,0%,0%,3.55,ME,https://courses.illinois.edu/schedule/2018/fall/ME/481
Mechanobiology,ME 483,146,87%,13%,0%,0%,0%,0%,3.8,ME,https://courses.illinois.edu/schedule/2018/fall/ME/483
Bio-Inspired Design,ME 498,23,87%,9%,4%,0%,0%,0%,3.74,ME,https://courses.illinois.edu/schedule/2018/fall/ME/498
Freshman Materials Laboratory,MSE 183,283,97%,1%,1%,0%,0%,0%,3.95,MSE,https://courses.illinois.edu/schedule/2018/fall/MSE/183
Mechanics for MatSE,MSE 206,712,31%,35%,19%,11%,3%,1%,2.79,MSE,https://courses.illinois.edu/schedule/2018/fall/MSE/206
Electronic Properties of Matls,MSE 304,568,31%,25%,28%,7%,8%,1%,2.63,MSE,https://courses.illinois.edu/schedule/2018/fall/MSE/304
Materials Laboratory II,MSE 308,619,48%,46%,4%,0%,0%,0%,3.43,MSE,https://courses.illinois.edu/schedule/2018/fall/MSE/308
Materials Design,MSE 395,557,80%,20%,0%,0%,0%,0%,3.77,MSE,https://courses.illinois.edu/schedule/2018/fall/MSE/395
Kinetic Processes in Materials,MSE 402,676,39%,38%,15%,5%,1%,1%,3.09,MSE,https://courses.illinois.edu/schedule/2018/fall/MSE/402
Microstructure Determination,MSE 405,524,39%,41%,17%,2%,1%,0%,3.12,MSE,https://courses.illinois.edu/schedule/2018/fall/MSE/405
Ceramic Materials & Properties,MSE 420,138,36%,48%,10%,1%,4%,1%,3.11,MSE,https://courses.illinois.edu/schedule/2018/fall/MSE/420
Polymer Science & Engineering,MSE 450,673,37%,44%,18%,1%,0%,0%,3.17,MSE,https://courses.illinois.edu/schedule/2018/fall/MSE/450
Polymer Physics,MSE 458,108,48%,31%,18%,2%,1%,0%,3.23,MSE,https://courses.illinois.edu/schedule/2018/fall/MSE/458
Biomolecular Materials Science,MSE 473,94,60%,33%,4%,1%,1%,1%,3.47,MSE,https://courses.illinois.edu/schedule/2018/fall/MSE/473
Biomaterials and Nanomedicine,MSE 474,247,71%,28%,1%,0%,0%,0%,3.63,MSE,https://courses.illinois.edu/schedule/2018/fall/MSE/474
Electron Microscopy,MSE 481,190,56%,39%,3%,1%,0%,1%,3.48,MSE,https://courses.illinois.edu/schedule/2018/fall/MSE/481
Materials for Nanotechnology,MSE 487,160,66%,31%,1%,0%,2%,0%,3.55,MSE,https://courses.illinois.edu/schedule/2018/fall/MSE/487
Dynamics of Complex Fluids,MSE 583,42,60%,40%,0%,0%,0%,0%,3.59,MSE,https://courses.illinois.edu/schedule/2018/fall/MSE/583
Orientation Mus Tchg Lrng K-HS,MUS 240,238,76%,17%,2%,2%,2%,1%,3.64,MUS,https://courses.illinois.edu/schedule/2018/fall/MUS/240
Elements of Conducting,MUS 242,273,60%,25%,7%,2%,6%,0%,3.26,MUS,https://courses.illinois.edu/schedule/2018/fall/MUS/242
Illini Strings,MUS 250,179,98%,2%,0%,0%,0%,0%,3.98,MUS,https://courses.illinois.edu/schedule/2018/fall/MUS/250
Wind Orchestra,MUS 269,263,96%,3%,0%,0%,1%,0%,3.92,MUS,https://courses.illinois.edu/schedule/2018/fall/MUS/269
Basketball Band,MUS 274,171,99%,0%,1%,0%,0%,0%,3.98,MUS,https://courses.illinois.edu/schedule/2018/fall/MUS/274
The History of Music II,MUS 314,626,39%,37%,14%,6%,3%,0%,2.99,MUS,https://courses.illinois.edu/schedule/2018/fall/MUS/314
Analysis of Musical Form,MUS 408,219,61%,33%,5%,1%,0%,0%,3.53,MUS,https://courses.illinois.edu/schedule/2018/fall/MUS/408
Music In and AS Revolution,MUS 414,22,86%,9%,5%,0%,0%,0%,3.76,MUS,https://courses.illinois.edu/schedule/2018/fall/MUS/414
Assessment/Eval in Music Ed,MUS 434,32,66%,28%,0%,0%,3%,3%,3.58,MUS,https://courses.illinois.edu/schedule/2018/fall/MUS/434
Grad Music History Review,MUS 501,169,57%,40%,2%,0%,1%,1%,3.49,MUS,https://courses.illinois.edu/schedule/2018/fall/MUS/501
Baroque Performance Practice,MUS 526,109,74%,25%,1%,0%,0%,0%,3.72,MUS,https://courses.illinois.edu/schedule/2018/fall/MUS/526
The World Through Museums,MUSE 250,288,72%,19%,5%,2%,3%,0%,3.53,MUSE,https://courses.illinois.edu/schedule/2018/fall/MUSE/250
Introduction to Energy Sources,NPRE 101,551,31%,49%,17%,2%,1%,1%,3.06,NPRE,https://courses.illinois.edu/schedule/2018/fall/NPRE/101
Nuclear Power Engineering,NPRE 402,1810,60%,34%,5%,1%,0%,0%,3.48,NPRE,https://courses.illinois.edu/schedule/2018/fall/NPRE/402
Plasma and Fusion Science,NPRE 421,317,42%,35%,15%,4%,3%,0%,3.07,NPRE,https://courses.illinois.edu/schedule/2018/fall/NPRE/421
Radiation Protection,NPRE 441,302,64%,29%,6%,1%,0%,0%,3.49,NPRE,https://courses.illinois.edu/schedule/2018/fall/NPRE/441
Radioactive Waste Management,NPRE 442,117,55%,36%,9%,1%,0%,0%,3.39,NPRE,https://courses.illinois.edu/schedule/2018/fall/NPRE/442
Radiation Interact w/Matter II,NPRE 447,286,80%,12%,7%,0%,1%,0%,3.66,NPRE,https://courses.illinois.edu/schedule/2018/fall/NPRE/447
NPRE Laboratory,NPRE 451,136,52%,29%,12%,0%,6%,0%,3.16,NPRE,https://courses.illinois.edu/schedule/2018/fall/NPRE/451
Neutron Diffusion & Transport,NPRE 455,313,28%,32%,25%,9%,6%,1%,2.66,NPRE,https://courses.illinois.edu/schedule/2018/fall/NPRE/455
Design in NPRE,NPRE 458,207,70%,27%,1%,1%,1%,0%,3.6,NPRE,https://courses.illinois.edu/schedule/2018/fall/NPRE/458
Fuel Cells & Hydrogen Sources,NPRE 470,208,62%,35%,1%,0%,0%,0%,3.61,NPRE,https://courses.illinois.edu/schedule/2018/fall/NPRE/470
Wind Power Systems,NPRE 475,405,83%,15%,2%,0%,0%,0%,3.77,NPRE,https://courses.illinois.edu/schedule/2018/fall/NPRE/475
Seminar on Security,NPRE 483,67,81%,16%,3%,0%,0%,0%,3.64,NPRE,https://courses.illinois.edu/schedule/2018/fall/NPRE/483
Interact of Radiation w/Matter,NPRE 521,48,88%,10%,0%,0%,2%,0%,3.79,NPRE,https://courses.illinois.edu/schedule/2018/fall/NPRE/521
Wildlife Conserv 21st Century,NRES 101,976,50%,32%,10%,4%,4%,0%,3.18,NRES,https://courses.illinois.edu/schedule/2018/fall/NRES/101
Environment and Society,NRES 287,907,51%,35%,10%,2%,1%,0%,3.32,NRES,https://courses.illinois.edu/schedule/2018/fall/NRES/287
Wildlife Population Ecology,NRES 407,156,33%,37%,26%,4%,0%,0%,2.98,NRES,https://courses.illinois.edu/schedule/2018/fall/NRES/407
Restoration Ecology,NRES 420,145,52%,28%,15%,3%,1%,0%,3.25,NRES,https://courses.illinois.edu/schedule/2018/fall/NRES/420
Quantitative Methods in NRES,NRES 421,412,42%,39%,15%,3%,1%,0%,3.16,NRES,https://courses.illinois.edu/schedule/2018/fall/NRES/421
Integrative Ecosystem Mgmt,NRES 456,370,35%,39%,15%,9%,1%,0%,2.96,NRES,https://courses.illinois.edu/schedule/2018/fall/NRES/456
Soil and Water Conservation,NRES 474,262,26%,54%,18%,1%,0%,0%,3.06,NRES,https://courses.illinois.edu/schedule/2018/fall/NRES/474
Soil Fertility and Fertilizers,NRES 488,436,20%,49%,25%,4%,1%,0%,2.86,NRES,https://courses.illinois.edu/schedule/2018/fall/NRES/488
Digestion of protein & absorpt,NUTR 510,27,78%,22%,0%,0%,0%,0%,3.83,NUTR,https://courses.illinois.edu/schedule/2018/fall/NUTR/510
Virology & Viral Pathogenesis,PATH 433,256,36%,34%,18%,11%,0%,2%,3.04,PATH,https://courses.illinois.edu/schedule/2018/fall/PATH/433
Health Applications of GIS,PATH 439,48,79%,12%,4%,2%,2%,0%,3.62,PATH,https://courses.illinois.edu/schedule/2018/fall/PATH/439
Intro to Philosophy-ACP,PHIL 100,501,35%,46%,13%,2%,4%,0%,3.04,PHIL,https://courses.illinois.edu/schedule/2018/fall/PHIL/100
Intro to Ethics-ACP,PHIL 104,137,36%,53%,6%,4%,1%,1%,3.19,PHIL,https://courses.illinois.edu/schedule/2018/fall/PHIL/104
Intro to Political Philosophy,PHIL 107,104,45%,38%,13%,3%,1%,0%,3.17,PHIL,https://courses.illinois.edu/schedule/2018/fall/PHIL/107
Current Controversies,PHIL 380,152,44%,53%,0%,1%,1%,1%,3.4,PHIL,https://courses.illinois.edu/schedule/2018/fall/PHIL/380
Phil of Law and of the State,PHIL 436,174,43%,45%,8%,1%,3%,1%,3.22,PHIL,https://courses.illinois.edu/schedule/2018/fall/PHIL/436
Physics Made Easy,PHYS 123,551,91%,7%,1%,0%,0%,0%,3.88,PHYS,https://courses.illinois.edu/schedule/2018/fall/PHYS/123
Nuclear Weapons & Arms Control,PHYS 280,465,60%,33%,5%,0%,2%,0%,3.47,PHYS,https://courses.illinois.edu/schedule/2018/fall/PHYS/280
Subatomic Physics,PHYS 470,219,64%,26%,6%,2%,0%,0%,3.48,PHYS,https://courses.illinois.edu/schedule/2018/fall/PHYS/470
Condensed Matter Physics I,PHYS 560,185,82%,15%,2%,0%,0%,1%,3.77,PHYS,https://courses.illinois.edu/schedule/2018/fall/PHYS/560
Phase Transitions,PHYS 563,48,81%,17%,2%,0%,0%,0%,3.74,PHYS,https://courses.illinois.edu/schedule/2018/fall/PHYS/563
Introductory Plant Pathology,PLPA 204,387,47%,42%,10%,0%,1%,0%,3.36,PLPA,https://courses.illinois.edu/schedule/2018/fall/PLPA/204
Civic Careers,PS 191,109,60%,29%,4%,0%,7%,0%,3.25,PS,https://courses.illinois.edu/schedule/2018/fall/PS/191
US Racial & Ethnic Politics,PS 201,704,42%,38%,12%,3%,3%,1%,3.12,PS,https://courses.illinois.edu/schedule/2018/fall/PS/201
Strategic Models,PS 231,278,47%,32%,14%,4%,3%,1%,3.14,PS,https://courses.illinois.edu/schedule/2018/fall/PS/231
Governing Globalization,PS 282,491,51%,33%,11%,1%,3%,0%,3.25,PS,https://courses.illinois.edu/schedule/2018/fall/PS/282
The US Constitution II,PS 302,477,42%,42%,11%,2%,2%,1%,3.17,PS,https://courses.illinois.edu/schedule/2018/fall/PS/302
Law and Public Policy,PS 322,286,29%,49%,16%,1%,4%,1%,2.95,PS,https://courses.illinois.edu/schedule/2018/fall/PS/322
PSM Industry Seminar II,PSM 502,72,78%,18%,4%,0%,0%,0%,3.71,PSM,https://courses.illinois.edu/schedule/2018/fall/PSM/502
Abnormal Psych,PSYC 238,5534,44%,42%,11%,2%,1%,0%,3.23,PSYC,https://courses.illinois.edu/schedule/2018/fall/PSYC/238
Psych of the Infant,PSYC 318,625,39%,39%,17%,2%,2%,0%,3.12,PSYC,https://courses.illinois.edu/schedule/2018/fall/PSYC/318
Human Memory,PSYC 321,99,31%,43%,17%,2%,3%,3%,3.04,PSYC,https://courses.illinois.edu/schedule/2018/fall/PSYC/321
Psychology of Gender,PSYC 328,211,46%,42%,10%,0%,1%,0%,3.29,PSYC,https://courses.illinois.edu/schedule/2018/fall/PSYC/328
